date,year,month_num,month,sunshine_hours
1959-02-01,1959,2,Feb,65.5
1959-03-01,1959,3,Mar,106.3
1959-04-01,1959,4,Apr,156.0
1959-05-01,1959,5,May,228.5
1959-06-01,1959,6,Jun,248.6
1959-07-01,1959,7,Jul,271.7
1959-08-01,1959,8,Aug,219.4
1959-09-01,1959,9,Sep,191.2
1959-10-01,1959,10,Oct,162.9
1959-11-01,1959,11,Nov,60.8
1959-12-01,1959,12,Dec,34.3
1960-01-01,1960,1,Jan,37.8
1960-02-01,1960,2,Feb,74.6
1960-03-01,1960,3,Mar,66.7
1960-04-01,1960,4,Apr,161.0
1960-05-01,1960,5,May,189.4
1960-06-01,1960,6,Jun,258.9
1960-07-01,1960,7,Jul,153.7
1960-08-01,1960,8,Aug,169.4
1960-09-01,1960,9,Sep,126.0
1960-10-01,1960,10,Oct,80.2
1960-11-01,1960,11,Nov,66.5
1960-12-01,1960,12,Dec,43.4
1961-01-01,1961,1,Jan,47.3
1961-02-01,1961,2,Feb,68.4
1961-03-01,1961,3,Mar,164.5
1961-04-01,1961,4,Apr,114.7
1961-05-01,1961,5,May,218.4
1961-06-01,1961,6,Jun,232.0
1961-07-01,1961,7,Jul,172.4
1961-08-01,1961,8,Aug,181.6
1961-09-01,1961,9,Sep,130.2
1961-10-01,1961,10,Oct,131.2
1961-11-01,1961,11,Nov,67.8
1961-12-01,1961,12,Dec,69.0
1962-01-01,1962,1,Jan,72.4
1962-02-01,1962,2,Feb,69.2
1962-03-01,1962,3,Mar,108.4
1962-04-01,1962,4,Apr,138.1
1962-05-01,1962,5,May,156.4
1962-06-01,1962,6,Jun,259.8
1962-07-01,1962,7,Jul,135.6
1962-08-01,1962,8,Aug,169.6
1962-09-01,1962,9,Sep,131.4
1962-10-01,1962,10,Oct,111.0
1962-11-01,1962,11,Nov,38.0
1962-12-01,1962,12,Dec,80.7
1963-01-01,1963,1,Jan,61.5
1963-02-01,1963,2,Feb,70.3
1963-03-01,1963,3,Mar,104.2
1963-04-01,1963,4,Apr,132.9
1963-05-01,1963,5,May,195.7
1963-06-01,1963,6,Jun,206.6
1963-07-01,1963,7,Jul,205.2
1963-08-01,1963,8,Aug,124.1
1963-09-01,1963,9,Sep,132.9
1963-10-01,1963,10,Oct,90.9
1963-11-01,1963,11,Nov,61.0
1963-12-01,1963,12,Dec,48.9
1964-01-01,1964,1,Jan,46.5
1964-02-01,1964,2,Feb,66.1
1964-03-01,1964,3,Mar,57.2
1964-04-01,1964,4,Apr,123.5
1964-05-01,1964,5,May,220.8
1964-06-01,1964,6,Jun,163.1
1964-07-01,1964,7,Jul,207.7
1964-08-01,1964,8,Aug,206.4
1964-09-01,1964,9,Sep,201.5
1964-10-01,1964,10,Oct,121.6
1964-11-01,1964,11,Nov,65.6
1964-12-01,1964,12,Dec,41.8
1965-01-01,1965,1,Jan,74.2
1965-02-01,1965,2,Feb,34.0
