Entity,Code,Year,Rape or colza seed - Production (tonnes),production_1974_tonnes,pct_difference_from_1974,pct_change_yoy
Sweden,SWE,2024,283600.0,351210.0,-19.25059081461234,-6.9858970154148885
Switzerland,CHE,1974,27998.0,27998.0,0.0,
Switzerland,CHE,1975,18459.0,27998.0,-34.0702907350525,-34.0702907350525
Switzerland,CHE,1976,23800.0,27998.0,-14.993928137724122,28.934395145999247
Switzerland,CHE,1977,21555.0,27998.0,-23.012358025573253,-9.432773109243698
Switzerland,CHE,1978,27562.0,27998.0,-1.557254089577827,27.868244026907902
Switzerland,CHE,1979,30604.0,27998.0,9.307807700550038,11.036934910383868
Switzerland,CHE,1980,34050.0,27998.0,21.61582970212158,11.259966017514046
Switzerland,CHE,1981,34199.0,27998.0,22.148010572183725,0.4375917767988291
Switzerland,CHE,1982,36623.0,27998.0,30.80577184084577,7.087926547559875
Switzerland,CHE,1983,31882.0,27998.0,13.872419458532754,-12.945416814570075
Switzerland,CHE,1984,42954.0,27998.0,53.41810129294949,34.728059720218305
Switzerland,CHE,1985,39085.0,27998.0,39.599257089792125,-9.007310145737302
Switzerland,CHE,1986,40174.0,27998.0,43.488820630045005,2.7862351285659503
Switzerland,CHE,1987,49096.0,27998.0,75.35538252732337,22.20839348832577
Switzerland,CHE,1988,49989.0,27998.0,78.54489606400458,1.8188854489164183
Switzerland,CHE,1989,54310.0,27998.0,93.97814129580684,8.64390165836484
Switzerland,CHE,1990,43215.0,27998.0,54.35031073648118,-20.42901859694347
Switzerland,CHE,1991,50492.0,27998.0,80.34145296092578,16.839060511396497
Switzerland,CHE,1992,44634.0,27998.0,59.4185298949925,-11.601837914917212
Switzerland,CHE,1993,49579.0,27998.0,77.08050575041074,11.078998073217727
Switzerland,CHE,1994,34750.0,27998.0,24.116008286306165,-29.909840860041548
Switzerland,CHE,1995,49094.0,27998.0,75.34823915994,41.27769784172661
Switzerland,CHE,1996,48544.0,27998.0,73.38381312950925,-1.1202998329734817
Switzerland,CHE,1997,55181.0,27998.0,97.0890777912708,13.67213249835202
Switzerland,CHE,1998,51973.0,27998.0,85.63111650832202,-5.813595259237781
Switzerland,CHE,1999,42313.0,27998.0,51.12865204657475,-18.586573797933543
Switzerland,CHE,2000,42742.0,27998.0,52.66090435031073,1.0138728050480994
Switzerland,CHE,2001,39440.0,27998.0,40.86720480034288,-7.725422301249352
Switzerland,CHE,2002,48870.0,27998.0,74.54818201300093,23.909736308316432
Switzerland,CHE,2003,45300.0,27998.0,61.79727123365954,-7.305095150399021
Switzerland,CHE,2004,59100.0,27998.0,111.0865061790128,30.4635761589404
Switzerland,CHE,2005,58800.0,27998.0,110.0150010715051,-0.5076142131979711
Switzerland,CHE,2006,57900.0,27998.0,106.80048574898208,-1.530612244897955
Switzerland,CHE,2007,61000.0,27998.0,117.87270519322809,5.354058721934374
Switzerland,CHE,2008,62100.0,27998.0,121.8015572540896,1.80327868852459
Switzerland,CHE,2009,67000.0,27998.0,139.3028073433817,7.890499194847012
